label,k_lin,k_quad,ci_lin_lo,ci_lin_hi,ci_quad_lo,ci_quad_hi,n,kind
"gpt-oss 20B (abstract, ensemble)",0.022964509394572022,-0.030674846625766753,-0.05728900255754482,0.12538226299694186,-0.18295618680789588,0.12269938650306739,78,ensemble
"gpt-oss 20B (fulltext, ensemble)",0.1861435726210351,0.2226720647773276,0.06264775413711576,0.3218829516539441,0.06444683136412445,0.401240035429584,78,ensemble
"Gemma 4 26B-A4B (abstract, ensemble)",0.12658227848101258,0.13368983957219208,0.0,0.2475884244372992,-0.06973500697350074,0.295754026354319,78,ensemble
"Gemma 4 26B-A4B (fulltext, ensemble)",0.1762794476035743,0.2123552123552124,0.05172413793103459,0.3108433734939759,0.05597579425113476,0.3787195671776378,78,ensemble
"Qwen 3.6 35B-A3B (abstract, ensemble)",0.07657430730478583,0.12571428571428586,-0.03197353914002196,0.19495412844036727,-0.021218961625282327,0.2734622144112479,78,ensemble
"Qwen 3.6 35B-A3B (fulltext, ensemble)",0.22667868409193329,0.2534562211981563,0.0856269113149848,0.3693270735524258,0.08341608738828202,0.4426719840478565,78,ensemble
"Claude Sonnet 4.6 (abstract, ensemble)",0.12406417112299435,0.14838709677419304,0.01818181818181812,0.24190064794816438,-0.013266998341625274,0.28938906752411586,78,ensemble
"Claude Sonnet 4.6 (fulltext, ensemble)",0.1823500731350559,0.24598930481283396,0.04878048780487788,0.31416349809885924,0.06586826347305427,0.39648682559598475,78,ensemble
"EM Claude 2 (published, single pass)",,0.22,,,,,,reference
"Minozzi 2020 — trained humans, no ID",,0.16,,,,,,reference_human
"Minozzi 2021 — trained humans, with ID",,0.42,,,,,,reference_human
